project_id,start_date,end_date,planned_duration,planned_budget,actual_budget,budget_overrun_pct,team_size,priority,department,program_type,risk_level,complexity,manager_experience,scope_changes,delayed_tasks,resource_utilization_pct,schedule_overrun_pct,success,ROI,customer_satisfaction
PRJ-1010,2020-06-29,2021-05-26,331,2882847.72,2479526.35,-13.99,35,High,Finance,New Product Launch,3.81,3.15,10,3,3,79.87,38.05,0,-10.51,1.25
PRJ-1011,2021-06-21,2022-03-24,276,4060061.3,3501538.94,-13.76,27,High,IT,System Upgrade,3.53,5.39,7,5,2,80.15,44.66,0,-21.49,1.79
PRJ-1012,2021-11-12,2022-10-12,334,4121872.78,3591700.79,-12.86,35,Low,HR,System Upgrade,4.33,3.92,12,1,1,92.77,56.84,1,33.55,1.95
PRJ-1013,2020-04-29,2020-10-20,174,1390619.64,1512008.03,8.73,30,Low,Operations,Compliance,3.28,6.68,9,1,3,87.71,60.91,0,-1.66,1.45
PRJ-1014,2022-09-23,2023-03-25,183,644815.01,589360.36,-8.6,49,High,Operations,New Product Launch,4.47,4.53,16,2,3,103.72,39.96,1,31.7,3.48
PRJ-1015,2021-05-11,2022-02-22,287,4342634.72,4688466.28,7.96,34,Medium,HR,System Upgrade,5.23,6.32,18,1,7,80.81,45.99,1,25.21,2.53
PRJ-1016,2022-10-18,2023-02-14,119,4081618.99,3777752.93,-7.44,47,Medium,IT,New Product Launch,4.29,5.9,4,1,8,84.21,49.39,0,-14.95,2.56
PRJ-1017,2022-11-08,2023-06-12,216,1976548.31,2083678.75,5.42,14,Medium,Finance,New Product Launch,5.78,4.75,20,3,5,78.01,49.09,1,23.46,2.84
PRJ-1018,2022-01-20,2022-07-14,175,757808.83,888734.14,17.28,40,Low,IT,Cost Reduction,7.72,5.49,10,2,8,79.93,57.41,0,-7.3,1.26
PRJ-1019,2020-06-21,2020-11-23,155,106200.54,86617.65,-18.44,30,High,Finance,Process Improvement,8.18,5.94,8,0,9,85.7,68.57,1,33.09,2.44
PRJ-1020,2021-10-17,2022-01-01,76,3698648.49,3777590.04,2.13,26,Medium,Marketing,System Upgrade,3.8,2.09,4,2,0,92.84,32.69,0,-8.61,1.7
PRJ-1021,2021-01-24,2021-04-09,75,4751509.57,5456556.78,14.84,7,Medium,IT,Compliance,2.36,8.66,18,1,6,87.59,52.11,0,-14.36,2.81
PRJ-1022,2022-11-12,2023-08-27,288,3856487.71,3807877.67,-1.26,48,Medium,HR,Process Improvement,1.8,3.3,4,2,1,75.64,25.34,1,30.85,3.58
PRJ-1023,2022-02-01,2022-10-10,251,2047240.19,2621796.18,28.06,49,High,Operations,System Upgrade,7.79,4.22,14,2,1,67.69,70.07,0,-12.6,1.76
PRJ-1024,2022-10-16,2023-10-15,364,1524899.29,2182407.57,43.12,31,Low,HR,Process Improvement,5.46,1.59,5,3,1,84.44,27.04,0,-16.35,3.19
PRJ-1025,2021-09-25,2021-12-24,90,1158052.88,1141988.36,-1.39,23,Medium,IT,Process Improvement,3.94,3.41,6,0,2,104.65,30.29,0,-7.94,3.0
PRJ-1026,2022-04-10,2022-08-24,136,1917565.53,2083054.11,8.63,17,Low,Finance,Cost Reduction,3.45,6.6,14,2,2,85.69,46.81,0,-12.74,1.8
PRJ-1027,2022-11-04,2023-07-18,256,569102.37,488797.43,-14.11,39,High,Marketing,Compliance,5.52,2.42,17,1,5,85.77,28.24,1,14.7,4.33
PRJ-1028,2021-11-22,2022-04-01,130,3247290.34,2166736.57,-33.28,47,Low,Finance,Process Improvement,6.88,5.99,6,3,3,83.06,66.37,0,-18.95,2.27
PRJ-1029,2020-07-12,2020-10-11,91,2805976.32,2904461.8,3.51,10,Medium,Operations,Cost Reduction,7.48,4.83,5,1,4,91.39,37.29,0,3.38,1.35
PRJ-1030,2020-01-10,2020-08-04,207,2765585.43,2129381.56,-23.0,42,High,Marketing,Process Improvement,5.46,3.8,5,0,4,92.6,43.2,0,-13.0,2.47
PRJ-1031,2022-07-06,2023-06-20,349,288068.49,291570.96,1.22,31,Medium,HR,System Upgrade,5.68,4.18,14,2,6,90.53,47.86,1,10.91,3.8
PRJ-1032,2022-10-03,2023-03-26,174,1950261.55,2395861.52,22.85,41,Medium,Operations,Compliance,5.19,2.04,20,5,3,96.44,57.18,1,20.53,3.2
PRJ-1033,2020-02-16,2020-12-02,290,2074328.13,1993579.69,-3.89,47,Medium,Marketing,Process Improvement,6.74,7.71,19,5,5,82.31,62.43,1,25.33,2.55
PRJ-1034,2022-06-06,2022-11-15,162,163961.89,211673.84,29.1,33,Medium,IT,New Product Launch,6.34,2.32,14,3,7,103.87,43.1,1,8.97,2.53
PRJ-1035,2020-03-15,2020-05-08,54,4618653.15,3320944.01,-28.1,9,Low,Marketing,Process Improvement,7.54,3.36,17,1,4,95.39,42.81,1,18.16,2.92
PRJ-1036,2021-11-19,2022-03-12,113,2808661.58,3010802.61,7.2,42,Medium,Operations,Compliance,7.26,10.0,13,3,10,85.59,68.73,0,-8.93,1.0
PRJ-1037,2020-03-27,2020-10-04,191,4895710.61,6042907.51,23.43,34,High,Operations,Compliance,6.87,7.54,1,2,13,68.07,51.98,0,-9.14,2.15
PRJ-1038,2022-07-03,2022-11-21,141,2936055.73,3625457.48,23.48,49,Low,HR,System Upgrade,4.63,2.0,2,1,5,96.39,32.82,1,14.45,3.41
PRJ-1039,2021-06-09,2022-02-02,238,3721350.37,2908081.58,-21.85,4,Low,IT,New Product Launch,2.3,6.49,11,1,7,84.31,7.2,0,-21.03,2.3
PRJ-1040,2020-09-24,2021-01-29,127,3183835.41,5100989.51,60.22,19,Medium,HR,System Upgrade,4.57,1.32,14,0,2,72.2,12.45,0,-8.85,3.42
PRJ-1041,2022-01-13,2022-12-03,324,2853702.97,2491980.26,-12.68,36,Medium,Finance,New Product Launch,6.04,4.76,5,1,5,80.2,69.47,0,-22.22,1.0
PRJ-1042,2020-02-11,2020-06-23,133,2325423.49,2900139.21,24.71,19,High,Marketing,Cost Reduction,3.81,4.85,15,0,10,91.21,30.51,1,34.73,2.96
PRJ-1043,2020-11-30,2021-09-25,299,3502230.32,5502688.5,57.12,11,High,Finance,Compliance,4.61,4.69,18,1,5,95.19,38.65,0,-21.7,1.48
PRJ-1044,2022-09-08,2022-10-11,33,1627824.89,1991730.03,22.36,44,Medium,HR,New Product Launch,5.57,4.56,3,1,9,94.96,39.07,0,-10.22,1.91
PRJ-1045,2021-01-10,2021-06-30,171,1471833.01,1462476.68,-0.64,6,Low,Finance,Compliance,6.33,8.23,16,0,7,94.84,54.22,1,25.93,2.78
PRJ-1046,2022-02-10,2022-05-02,81,1196774.92,1296454.83,8.33,47,Medium,Marketing,System Upgrade,5.98,4.17,3,3,5,83.96,70.79,0,-13.8,1.0
PRJ-1047,2022-09-14,2023-02-13,152,2409550.3,2106731.9,-12.57,5,Medium,HR,Compliance,6.09,7.17,5,2,0,82.65,56.96,0,-11.2,1.68
PRJ-1048,2020-02-09,2020-04-18,69,2850373.22,3325774.54,16.68,21,Low,HR,System Upgrade,4.28,4.24,16,5,3,90.47,42.47,0,-15.44,1.84
PRJ-1049,2021-08-11,2022-04-03,235,2561965.28,2488519.47,-2.87,41,Medium,IT,System Upgrade,6.31,1.21,8,2,5,91.08,41.04,0,-9.35,2.18
PRJ-1050,2020-07-10,2021-03-15,248,3555451.84,3827777.89,7.66,3,Low,Finance,Process Improvement,3.6,3.83,3,2,4,104.11,32.35,1,5.92,3.4
PRJ-1051,2020-06-05,2021-04-15,314,1526953.43,1959360.3,28.32,34,High,HR,New Product Launch,5.49,3.87,11,2,5,84.54,45.49,1,10.78,2.76
PRJ-1052,2022-03-02,2023-01-06,310,1874205.4,1937122.04,3.36,10,High,Operations,New Product Launch,7.23,4.16,8,4,4,80.18,49.9,0,-2.6,1.67
PRJ-1053,2021-01-20,2021-06-15,146,3997917.55,3653255.75,-8.62,13,Low,HR,Process Improvement,8.93,4.23,18,2,5,84.96,49.73,1,14.05,3.9
PRJ-1054,2020-08-12,2020-09-12,31,484939.17,483078.35,-0.38,28,High,Operations,Compliance,4.83,3.0,7,2,1,82.19,39.23,1,30.03,3.4
PRJ-1055,2020-04-20,2021-04-12,357,4083384.31,4147140.9,1.56,9,High,HR,Compliance,6.3,8.95,6,3,3,74.68,59.08,1,24.0,3.79
PRJ-1056,2021-10-23,2022-06-20,240,1694957.4,1613701.32,-4.79,30,Medium,Marketing,Compliance,10.0,6.23,15,1,7,74.77,72.93,0,-11.2,1.98
PRJ-1057,2020-10-21,2021-08-08,291,1420297.6,1480373.78,4.23,14,Medium,Marketing,System Upgrade,3.66,1.0,15,2,3,77.96,23.85,1,22.15,3.1
PRJ-1058,2020-05-09,2021-01-24,260,521544.46,409404.43,-21.5,30,Medium,Finance,Cost Reduction,7.15,6.61,1,1,4,72.54,36.62,1,19.43,3.69
PRJ-1059,2020-11-08,2020-12-08,30,876857.44,676583.85,-22.84,22,Low,Operations,New Product Launch,7.81,1.79,15,4,3,85.48,45.54,1,21.04,2.85
PRJ-1060,2022-11-01,2023-05-28,208,784298.84,967248.73,23.33,33,High,IT,System Upgrade,5.69,5.3,12,1,4,68.26,52.35,0,-12.64,1.8
PRJ-1061,2020-10-29,2021-04-21,174,2874518.25,3002839.99,4.46,14,High,HR,Process Improvement,5.4,4.48,4,2,5,84.36,47.71,1,29.47,3.76
PRJ-1062,2021-05-08,2022-04-26,353,4632090.41,5698837.33,23.03,15,Medium,IT,New Product Launch,4.72,4.4,11,1,5,98.76,60.95,0,-8.15,1.7
PRJ-1063,2022-08-31,2023-01-17,139,3116477.21,3127447.77,0.35,48,Medium,IT,Process Improvement,10.0,5.07,8,2,10,92.59,72.01,0,-11.81,1.64
PRJ-1064,2021-05-08,2021-07-28,81,1571085.33,1706165.4,8.6,18,High,IT,System Upgrade,7.78,5.51,2,1,3,80.21,75.91,0,-11.92,2.08
PRJ-1065,2021-07-12,2022-01-29,201,4759446.54,4925889.94,3.5,24,High,Marketing,System Upgrade,5.1,5.08,9,2,5,91.93,49.31,1,19.42,3.35
PRJ-1066,2021-08-03,2022-05-01,271,881670.33,1037510.3,17.68,23,Medium,Marketing,Compliance,5.83,7.45,11,1,6,101.23,63.25,1,18.67,2.99
PRJ-1067,2020-10-14,2020-12-24,71,1407095.3,1327130.54,-5.68,48,High,HR,Compliance,6.62,2.38,4,1,2,77.41,42.57,1,31.77,2.47
PRJ-1068,2020-03-07,2020-05-25,79,2688141.04,2192123.51,-18.45,8,Medium,Operations,Cost Reduction,2.53,4.71,6,3,3,79.71,34.5,0,-21.24,1.64
PRJ-1069,2022-09-06,2023-02-18,165,2400688.39,3114217.72,29.72,32,High,IT,Cost Reduction,3.93,2.19,8,0,4,93.13,19.35,1,17.5,5.0
PRJ-1070,2021-04-25,2021-10-13,171,1175418.64,962256.54,-18.13,4,Medium,Operations,Cost Reduction,1.92,5.17,11,4,4,92.08,42.01,1,12.86,3.85
PRJ-1071,2022-10-27,2023-01-31,96,1558161.74,1717176.99,10.21,11,Low,IT,New Product Launch,4.13,3.91,14,3,5,59.74,39.04,0,-12.23,1.83
PRJ-1072,2022-11-01,2022-12-25,54,4830819.7,3330938.19,-31.05,16,High,Finance,New Product Launch,3.71,4.25,6,0,0,91.33,14.73,1,30.86,3.62
PRJ-1073,2021-11-20,2022-09-12,296,336013.78,312386.38,-7.03,17,High,Marketing,Compliance,3.77,4.4,16,3,2,94.51,42.3,0,-14.42,2.52
PRJ-1074,2020-06-03,2020-07-09,36,2099942.28,2432347.48,15.83,24,Medium,Operations,Process Improvement,6.52,4.53,6,2,2,74.54,40.25,0,-14.56,1.4
PRJ-1075,2021-09-15,2021-12-05,81,3699917.53,3855248.57,4.2,42,High,Marketing,New Product Launch,5.89,7.41,6,2,4,88.25,54.0,0,-8.93,1.97
PRJ-1076,2021-12-26,2022-10-15,293,3201514.93,2951480.81,-7.81,26,Medium,HR,New Product Launch,5.34,4.94,8,0,2,87.59,28.03,0,-22.22,1.92
PRJ-1077,2022-02-11,2022-11-28,290,3318498.46,3840599.65,15.73,34,High,HR,New Product Launch,4.75,3.57,15,0,5,87.81,25.18,0,-3.98,3.58
PRJ-1078,2020-05-28,2021-03-19,295,669906.17,568000.84,-15.21,15,Low,Marketing,Process Improvement,4.87,8.06,2,0,5,90.08,54.29,0,-10.76,2.02
PRJ-1079,2020-02-08,2020-07-08,151,4240245.98,4312700.7,1.71,43,Medium,Operations,Process Improvement,9.26,6.38,8,2,5,88.22,62.6,0,-11.43,1.82
PRJ-1080,2021-04-05,2021-06-17,73,2096411.42,2538102.59,21.07,5,Low,IT,Process Improvement,6.7,6.13,7,3,8,67.39,65.51,0,-13.78,1.73
PRJ-1081,2020-08-21,2020-12-14,115,3816904.26,2318214.1,-39.26,14,Medium,Operations,System Upgrade,3.43,6.3,2,5,3,80.42,42.46,1,15.81,2.26
PRJ-1082,2021-05-30,2021-09-07,100,2575043.08,2426880.4,-5.75,6,Low,Operations,System Upgrade,5.61,4.96,18,1,6,78.33,45.73,0,-3.32,1.55
PRJ-1083,2022-02-01,2023-01-15,348,4016766.23,4846223.23,20.65,49,Medium,HR,Cost Reduction,2.95,8.71,4,1,8,92.18,59.64,0,-15.69,1.81
PRJ-1084,2022-07-10,2022-09-12,64,4370014.74,4266156.77,-2.38,23,High,Finance,Process Improvement,5.8,2.66,6,1,3,56.28,36.26,1,17.67,2.9
PRJ-1085,2021-09-23,2022-07-19,299,4875431.53,4189356.31,-14.07,18,Low,HR,Compliance,4.39,8.14,13,1,4,95.71,41.09,0,-10.71,1.63
PRJ-1086,2022-08-01,2023-01-20,172,4687271.19,4818937.3,2.81,16,High,Finance,New Product Launch,3.79,6.59,5,4,1,72.46,39.38,1,20.29,2.5
PRJ-1087,2022-08-11,2022-10-07,57,2735601.73,2906128.11,6.23,41,High,Operations,Compliance,5.76,8.62,6,2,3,83.77,69.86,0,-3.34,1.06
PRJ-1088,2021-09-02,2021-11-29,88,307185.06,283932.08,-7.57,9,Low,HR,Process Improvement,6.2,5.26,4,2,7,95.66,50.19,1,17.03,2.51
PRJ-1089,2021-08-23,2022-06-27,308,2017037.88,2115712.43,4.89,45,High,HR,New Product Launch,5.23,2.12,9,3,5,81.65,34.47,0,-6.46,2.39
PRJ-1090,2022-09-16,2023-07-02,289,3095725.22,3265506.84,5.48,18,Low,IT,Compliance,7.82,4.98,13,4,2,88.03,57.05,0,-16.18,1.0
PRJ-1091,2020-07-29,2021-01-08,163,3809932.93,3231464.5,-15.18,13,High,Marketing,Cost Reduction,5.55,6.46,9,3,4,81.08,43.94,0,-8.96,2.45
PRJ-1092,2020-09-29,2021-03-27,179,4215165.39,4766281.48,13.07,37,High,HR,Process Improvement,4.95,4.36,15,2,5,78.25,52.14,1,24.96,3.32
PRJ-1093,2020-07-28,2021-07-25,362,3271304.31,3871562.99,18.35,8,Medium,IT,Compliance,6.35,8.8,2,3,4,88.32,66.03,0,-21.67,1.75
PRJ-1094,2020-10-10,2021-08-10,304,139132.45,170817.44,22.77,21,High,HR,Compliance,3.95,5.73,8,1,3,103.38,46.39,0,-11.64,1.37
PRJ-1095,2021-11-25,2022-04-23,149,2680016.78,2131599.71,-20.46,32,Medium,Finance,Process Improvement,1.75,4.01,14,2,2,94.75,29.78,0,-9.85,3.55
PRJ-1096,2021-03-13,2022-03-09,361,2201250.01,2536369.45,15.22,28,Medium,Finance,Process Improvement,7.75,4.3,19,4,7,81.45,68.71,0,-10.09,1.63
PRJ-1097,2022-01-22,2022-05-24,122,3131472.49,3417093.8,9.12,16,High,Marketing,System Upgrade,1.99,6.52,17,1,0,81.91,23.99,0,-6.13,3.79
PRJ-1098,2022-03-27,2022-12-14,262,3104479.25,3061603.95,-1.38,41,Medium,IT,New Product Launch,3.41,4.13,11,0,3,85.69,35.22,1,17.71,2.9
PRJ-1099,2020-04-12,2020-08-09,119,4772463.98,5993471.97,25.58,7,Medium,HR,New Product Launch,5.29,3.77,18,3,4,96.34,35.64,0,-10.81,2.65
PRJ-1100,2022-06-28,2023-04-19,295,3198675.43,3490857.83,9.13,30,High,Marketing,Compliance,6.52,5.9,2,5,5,74.25,73.66,0,-11.88,1.0
PRJ-1101,2022-11-19,2023-03-01,102,2259776.61,2862506.97,26.67,36,High,Finance,New Product Launch,3.14,1.0,12,2,2,95.33,33.98,0,-8.68,1.51
PRJ-1102,2022-04-12,2022-07-06,85,1762093.43,2311975.39,31.21,45,Low,Finance,System Upgrade,7.79,7.55,11,2,6,80.02,65.65,1,15.79,2.14
PRJ-1103,2020-09-18,2021-08-19,335,3793257.39,3708431.55,-2.24,17,High,HR,System Upgrade,2.81,4.93,5,4,4,90.29,16.43,0,-5.74,3.39
PRJ-1104,2022-01-31,2022-04-12,71,335355.53,267516.14,-20.23,46,Medium,HR,New Product Launch,3.27,5.34,1,1,6,97.6,53.98,0,-8.54,1.81
PRJ-1105,2020-03-04,2020-09-13,193,2985421.78,2795724.62,-6.35,36,Medium,HR,System Upgrade,5.53,8.54,12,0,5,75.91,53.56,1,10.87,3.09
PRJ-1106,2021-02-10,2021-05-25,104,1963375.51,1222918.19,-37.71,19,Low,IT,Process Improvement,10.0,7.39,15,2,8,81.63,80.0,0,-13.02,1.76
PRJ-1107,2022-06-24,2022-09-15,83,715453.89,886808.88,23.95,23,High,IT,Compliance,7.29,3.94,3,2,4,92.25,57.43,0,-12.76,1.35
PRJ-1108,2020-07-19,2020-12-23,157,3842273.87,4304459.61,12.03,42,High,Finance,Compliance,7.14,8.08,14,2,4,78.04,64.24,0,-3.92,2.24
PRJ-1109,2020-11-17,2021-05-09,173,410864.09,431660.72,5.06,15,High,Finance,Process Improvement,2.8,6.27,2,3,3,85.79,39.03,0,-1.55,1.26
PRJ-1110,2022-11-12,2023-06-12,212,4341320.67,5687770.25,31.01,22,Medium,Finance,Compliance,4.63,2.79,14,4,3,92.82,42.86,0,-21.14,1.43
PRJ-1111,2020-10-20,2021-02-22,125,4483847.29,4721831.06,5.31,26,Medium,IT,New Product Launch,6.65,3.27,11,1,9,85.78,39.5,1,15.76,3.76
PRJ-1112,2020-08-22,2021-04-21,242,3348607.8,3575414.09,6.77,32,Medium,Finance,New Product Launch,5.39,4.63,19,1,5,67.59,28.82,1,19.76,4.14
PRJ-1113,2022-06-16,2022-08-15,60,1099370.57,1083959.16,-1.4,11,High,Marketing,System Upgrade,5.78,6.26,1,2,5,81.57,71.35,0,-10.19,1.63
PRJ-1114,2022-12-03,2023-02-23,82,544340.76,453722.47,-16.65,40,High,Operations,Compliance,6.58,4.54,3,2,1,75.06,50.74,1,21.81,3.34
PRJ-1115,2021-11-28,2022-04-10,133,4292791.32,5124035.18,19.36,44,Medium,HR,New Product Launch,6.35,6.18,2,1,6,90.91,72.19,1,28.89,3.63
PRJ-1116,2022-12-04,2023-08-07,246,2020126.2,1961207.69,-2.92,43,High,Marketing,Compliance,4.64,5.3,13,2,7,91.36,36.48,0,-15.3,2.27
PRJ-1117,2021-04-05,2022-01-26,296,4065062.66,5417098.24,33.26,42,High,Finance,Compliance,7.25,6.04,15,2,4,76.65,79.23,0,-8.27,1.51
PRJ-1118,2020-10-03,2021-01-01,90,4813435.5,5684334.4,18.09,20,Medium,Operations,Process Improvement,5.37,2.38,3,1,1,86.92,40.48,0,-17.79,2.11
PRJ-1119,2020-12-22,2021-06-08,168,2213129.63,2470668.81,11.64,21,High,Finance,New Product Launch,3.99,3.85,18,3,6,75.39,45.82,0,-15.95,2.02
PRJ-1120,2020-03-26,2020-07-26,122,3035168.32,3468252.28,14.27,30,Low,Marketing,Process Improvement,6.09,2.5,8,2,1,91.05,62.96,0,-13.7,1.91
PRJ-1121,2021-08-23,2022-01-28,158,3816989.22,3869492.54,1.38,5,Medium,Finance,Compliance,7.84,3.8,3,0,7,89.87,57.17,0,-19.95,2.21
PRJ-1122,2021-10-12,2022-07-24,285,2838456.98,1944660.43,-31.49,21,Low,Operations,Compliance,3.48,4.56,7,5,2,73.89,36.77,1,18.11,3.3
PRJ-1123,2020-02-09,2020-09-20,224,285824.22,279229.52,-2.31,38,Medium,Marketing,Process Improvement,7.07,6.48,10,3,6,98.67,52.37,0,-5.09,1.57
PRJ-1124,2022-11-27,2023-11-23,361,3672037.45,3059680.51,-16.68,15,Low,Marketing,Cost Reduction,8.63,1.55,5,2,8,78.22,69.8,0,-15.87,1.69
PRJ-1125,2021-12-26,2022-02-03,39,1363364.38,1460247.6,7.11,6,High,Finance,Cost Reduction,5.29,5.98,5,0,9,91.66,48.61,0,-13.08,2.3
PRJ-1126,2020-09-01,2021-06-19,291,4289859.26,5412264.08,26.16,49,Low,Marketing,System Upgrade,6.88,8.27,17,1,5,63.57,46.0,1,25.67,3.43
PRJ-1127,2020-10-09,2021-05-19,222,2437208.59,2583330.79,6.0,42,High,IT,Cost Reduction,5.98,3.95,3,4,4,89.26,47.93,1,17.97,2.89
PRJ-1128,2020-04-22,2021-04-14,357,147988.51,119075.24,-19.54,14,Low,Operations,Process Improvement,4.13,1.96,14,2,1,96.13,25.42,1,19.82,3.21
PRJ-1129,2020-05-07,2021-01-06,244,3767152.0,4211720.67,11.8,22,High,Operations,System Upgrade,3.07,3.09,10,1,2,88.88,27.01,1,19.55,2.92
PRJ-1130,2022-10-15,2023-05-09,206,3047139.21,4238962.47,39.11,4,Medium,Marketing,Process Improvement,5.24,6.9,11,1,4,72.14,50.03,0,-20.79,2.4
PRJ-1131,2021-04-25,2021-08-05,102,3376677.39,2190700.36,-35.12,8,High,Marketing,Cost Reduction,2.75,3.16,2,2,3,88.91,14.0,0,-11.51,3.37
PRJ-1132,2022-10-27,2023-02-01,97,1302852.62,1517056.56,16.44,38,Medium,IT,System Upgrade,4.88,6.52,6,1,0,99.59,37.28,1,27.75,2.55
PRJ-1133,2021-01-13,2021-05-15,122,3631066.7,3493808.06,-3.78,28,Medium,HR,Cost Reduction,8.93,6.08,18,1,3,77.16,57.99,0,-6.37,1.59
PRJ-1134,2020-12-03,2021-11-28,360,1892391.94,2277750.9,20.36,21,Medium,HR,System Upgrade,4.33,1.35,14,2,4,84.45,23.74,1,34.82,3.32
PRJ-1135,2020-12-28,2021-03-25,87,3207873.6,4242487.92,32.25,40,Low,IT,System Upgrade,1.77,1.0,11,1,1,81.13,13.39,0,-17.38,2.63
PRJ-1136,2022-09-14,2023-09-02,353,571696.43,543897.94,-4.86,3,High,Finance,New Product Launch,7.89,7.98,18,3,6,85.85,74.18,0,-12.24,1.15
PRJ-1137,2020-11-09,2021-06-03,206,4708548.02,5252742.72,11.56,35,High,Operations,System Upgrade,6.28,4.43,6,2,8,90.56,39.47,0,-7.9,2.88
PRJ-1138,2021-12-21,2022-11-04,318,2100294.58,2445838.45,16.45,12,Medium,Finance,Cost Reduction,5.7,7.24,2,2,2,103.34,64.41,0,-4.15,2.45
PRJ-1139,2022-09-28,2023-04-20,204,899884.84,1015000.66,12.79,36,Medium,HR,New Product Launch,7.03,4.52,2,0,8,95.92,55.86,1,29.55,3.75
PRJ-1140,2021-06-24,2022-03-31,280,3160710.96,2625664.24,-16.93,27,Medium,HR,Process Improvement,6.68,6.83,1,2,5,95.73,54.62,0,-16.97,1.04
PRJ-1141,2022-01-01,2022-11-18,321,2750646.65,2840208.45,3.26,47,High,Operations,New Product Launch,6.57,1.0,15,2,2,100.46,47.98,0,-11.62,1.78
PRJ-1142,2022-06-16,2022-10-19,125,3325337.23,3357598.63,0.97,36,Medium,HR,Process Improvement,4.99,5.54,4,5,4,100.13,53.05,1,27.56,2.91
PRJ-1143,2022-05-07,2022-08-08,93,4451183.22,5957211.48,33.83,39,Medium,IT,System Upgrade,8.18,5.51,12,2,4,85.16,70.45,0,-12.09,1.15
PRJ-1144,2021-10-19,2022-08-23,308,4794564.29,6521715.02,36.02,49,Medium,IT,System Upgrade,1.0,7.64,1,3,2,92.27,40.06,0,-17.37,2.23
PRJ-1145,2020-06-09,2021-01-28,233,2190113.82,2605058.5,18.95,3,Medium,Operations,System Upgrade,1.6,4.48,3,5,3,87.34,27.62,1,28.41,2.56
PRJ-1146,2022-03-13,2023-01-05,298,161008.15,208177.0,29.3,13,Medium,Finance,Compliance,3.8,2.94,15,1,3,96.13,31.77,1,21.73,3.58
PRJ-1147,2020-07-29,2020-10-14,77,4348633.4,3633739.89,-16.44,13,High,Operations,Cost Reduction,4.59,6.12,5,2,9,87.02,51.82,0,-6.72,1.79
PRJ-1148,2022-12-23,2023-12-08,350,4060780.0,3178771.79,-21.72,24,Medium,Marketing,Compliance,4.22,8.97,14,1,9,79.69,33.48,1,25.28,2.56
PRJ-1149,2021-10-21,2022-04-18,179,207131.64,263591.82,27.26,42,Medium,Operations,Compliance,5.33,4.79,20,3,7,87.53,55.21,1,18.8,2.74
PRJ-1150,2021-01-14,2021-11-15,305,381731.86,385101.83,0.88,9,Low,Finance,System Upgrade,3.51,3.68,20,0,2,77.95,31.91,1,14.11,3.83
PRJ-1151,2022-05-11,2022-09-10,122,151578.03,122234.84,-19.36,12,High,HR,Compliance,3.46,2.41,13,0,2,93.81,20.72,1,19.95,3.36
PRJ-1152,2020-04-05,2021-03-02,331,822105.28,1111817.81,35.24,48,Medium,Operations,Cost Reduction,4.77,5.23,1,2,2,83.99,48.96,0,-9.86,1.61
PRJ-1153,2021-11-09,2022-10-23,348,2834648.25,3433263.72,21.12,34,Medium,Marketing,Compliance,4.44,6.69,18,3,3,77.86,65.18,0,-15.77,2.07
PRJ-1154,2020-09-26,2021-05-01,217,3241488.98,3595216.13,10.91,27,Medium,Marketing,New Product Launch,1.97,3.24,6,2,3,94.62,39.17,0,-7.28,1.86
PRJ-1155,2020-12-14,2021-11-23,344,3989835.62,4778957.65,19.78,27,High,HR,System Upgrade,9.96,9.53,4,0,8,75.63,71.72,0,-12.39,2.01
